<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.21	12:00:00	132600	133000	132500	132800	100	538	100
2021.01.21	13:00:00	132800	132800	132500	132700	121	493	100
2021.01.21	14:00:00	132700	132800	131800	132000	468	2673	0
2021.01.23	10:00:00	132200	132200	131700	131700	71	389	0
2021.01.23	11:00:00	131700	132000	131500	131600	105	402	100
2021.01.23	12:00:00	131700	132000	131700	131900	96	480	100
2021.01.23	13:00:00	131800	131800	131300	131600	92	376	100
2021.01.23	14:00:00	131600	131800	131000	131200	185	931	100
2021.01.24	10:00:00	130600	131000	130000	130500	156	913	0
2021.01.24	11:00:00	130400	130500	130000	130300	130	728	100
2021.01.24	12:00:00	130300	130500	130200	130500	96	392	100
2021.01.24	13:00:00	130500	130600	130400	130400	64	276	100
2021.01.24	14:00:00	130500	130500	130300	130500	130	646	100
2021.01.25	10:00:00	130000	130400	130000	130400	39	153	0
2021.01.25	11:00:00	130400	131000	130300	130300	138	564	100
2021.01.25	12:00:00	130300	130500	129500	129600	185	1015	100
2021.01.25	13:00:00	129600	129900	129000	129000	257	1586	100
2021.01.25	14:00:00	129000	129700	128900	129400	192	903	100
2021.01.26	10:00:00	129200	129700	129100	129500	110	222	100
2021.01.26	11:00:00	129500	129700	129400	129600	121	506	100
2021.01.26	12:00:00	129600	130100	129500	129900	353	1951	100
2021.01.26	13:00:00	129900	130100	129800	130000	229	1149	100
2021.01.26	14:00:00	130000	130100	129800	130000	257	1506	100
2021.01.27	10:00:00	130000	131000	129900	129900	155	638	0
2021.01.27	11:00:00	129900	130000	129600	129800	329	1963	100
2021.01.27	12:00:00	129900	130000	129600	129700	166	913	100
2021.01.27	13:00:00	129800	129900	129400	129500	186	893	100
2021.01.27	14:00:00	129600	129600	128200	128800	409	3117	100
2021.01.28	10:00:00	128900	129200	128500	129000	133	657	0
2021.01.28	11:00:00	129000	129200	128900	129200	199	885	100
2021.01.28	12:00:00	129000	129800	129000	129300	318	1273	100
2021.01.28	13:00:00	129400	129500	129300	129300	229	898	100
2021.01.28	14:00:00	129300	129500	129000	129300	372	2319	100
2021.01.30	10:00:00	129400	130000	129200	129500	263	1491	0
2021.01.30	11:00:00	129500	129700	129200	129300	358	1858	100
2021.01.30	12:00:00	129200	129500	128300	128800	733	3732	100
2021.01.30	13:00:00	128800	129200	128000	128400	737	5221	100
2021.01.30	14:00:00	128400	129200	128100	129000	714	3110	100
2021.01.31	10:00:00	129000	129000	128200	128500	183	923	0
2021.01.31	11:00:00	128500	128800	128500	128800	166	530	100
2021.01.31	12:00:00	128800	128900	127700	128000	344	1609	100
2021.01.31	13:00:00	128000	128200	127400	127400	342	2212	100
2021.01.31	14:00:00	127500	129000	127500	128600	269	1160	100
2021.02.01	10:00:00	128300	129200	128000	128500	90	269	100
2021.02.01	11:00:00	128300	128400	127500	127800	299	1268	100
2021.02.01	12:00:00	127700	128100	127700	128100	131	766	100
2021.02.01	13:00:00	127900	128200	127900	127900	48	171	100
2021.02.01	14:00:00	128000	128500	127700	128100	306	1328	100
2021.02.02	10:00:00	127900	128200	127700	128000	67	292	0
2021.02.02	11:00:00	127900	128200	127800	127900	161	826	100
2021.02.02	12:00:00	128000	128100	127600	127900	391	2263	100
2021.02.02	13:00:00	127700	128200	127700	128200	158	763	100
2021.02.02	14:00:00	128200	128700	128000	128600	250	1003	100
2021.02.03	10:00:00	128600	128600	128100	128400	61	237	100
2021.02.03	11:00:00	128200	128600	127200	127800	320	1714	100
2021.02.03	12:00:00	127600	127800	126800	127300	495	3030	100
2021.02.03	13:00:00	127200	128000	127100	128000	280	935	100
2021.02.03	14:00:00	127800	129000	127800	128400	431	2285	100
2021.02.04	10:00:00	127700	128300	127700	127900	66	141	0
2021.02.04	11:00:00	128000	128100	127900	127900	51	107	100
2021.02.04	12:00:00	128000	128000	127600	127900	168	520	100
2021.02.04	13:00:00	127900	128200	127700	128000	243	1027	100
2021.02.04	14:00:00	128000	128900	127800	128500	405	2734	100
2021.02.06	10:00:00	128100	128100	127800	127800	51	127	100
2021.02.06	11:00:00	127800	128000	127700	127800	248	683	100
2021.02.06	12:00:00	128000	128200	127700	128100	276	563	100
2021.02.06	13:00:00	128100	128200	127800	127900	76	233	100
2021.02.06	14:00:00	127900	128100	127700	128000	171	892	100
