Date,Open ,High,Low,Close,Volume
20180408,51200,52450,51200,52450,6
20180409,53200,56500,53200,56500,7
20180410,57100,61200,57100,58500,7
20180411,55000,55000,52000,52000,6
20180412,52500,54550,52500,54550,5
20180413,54000,54400,53500,54000,5
20180416,55350,55500,54500,55000,5
20180417,55500,56300,55500,55920,6
20180418,55900,56050,55300,55300,5
20180419,54600,55200,54000,54000,7
20180420,54200,54500,53950,54300,5
20180422,54900,55200,54500,54700,3
20180423,54500,54600,54400,54400,3
20180424,54650,54900,54600,54900,6
20180425,55150,55150,54900,55050,5
20180426,55200,55600,55200,55600,5
20180427,55650,55750,55650,55650,3
20180429,55750,55800,55700,55800,3
20180430,56700,56900,56700,56900,3
20180501,57300,58400,57300,58400,5
20180502,59000,60200,59000,60050,5
20180504,61100,61500,61000,61400,5
20180506,61800,65400,61800,65100,8
20180507,68600,70300,65500,66500,9
20180508,66000,66000,62000,62200,9
20180509,64000,65000,62800,63000,8
20180510,71200,71200,65800,66500,6
20180511,66600,67000,66300,67000,3
20180512,67500,67500,67500,67500,1
20180513,67000,67000,66200,66350,6
20180514,66000,66000,64300,64400,6
20180515,64000,64000,61900,61900,9
20180516,61800,62000,61000,62000,9
20180517,61800,62000,61200,62000,6
20180518,62100,62300,61900,62100,6
20180520,61800,61800,60900,60900,7
20180521,60750,61500,60400,61200,8
20180522,61700,63100,61700,63100,9
20180523,63200,63300,62600,62600,7
20180524,62500,62800,62400,62800,3
20180525,63100,63100,62800,62800,3
20180527,62900,62900,62350,62450,5
20180528,62600,62800,62350,62800,6
20180529,62900,63500,62900,63500,7
20180530,63700,64800,63700,64800,10
20180531,65000,65200,64600,64600,7
20180601,64500,64500,64450,64450,2
20180603,64400,64400,64000,64000,4
20180604,63900,64250,63900,64250,5
20180607,65300,65300,65150,65150,2
20180608,65100,65100,65000,65000,1
20180610,64900,65400,64750,65400,8
20180611,65650,67500,65650,67200,9
20180612,67300,69000,67300,68600,8
20180613,69100,70700,69100,70600,7
20180614,71000,72300,71000,71000,8
20180615,70300,70300,69200,69200,5
20180618,69000,70250,68400,70000,7
20180619,70500,71000,70500,70800,6
20180620,70850,72400,70800,72400,8
20180621,73000,73600,72500,73500,9
20180622,74000,75100,74000,74800,5
20180624,75500,80900,75500,80900,10
20180625,80800,89500,80800,88000,11
20180626,85000,85600,81000,81000,8
20180627,81500,82400,79000,80000,8
20180628,79000,81100,78000,81100,9
20180629,80500,83500,80500,82500,7
20180701,82400,82400,80000,80000,7
20180702,80200,83700,80200,83700,10
20180703,84000,84500,82200,83200,10
20180704,83100,83100,81500,81900,8
20180705,81800,81800,79600,79600,9
20180706,79500,79500,78000,78800,5
20180708,80500,80500,78800,79600,7
20180709,79500,80500,79300,80100,9
20180710,80000,80000,79500,79500,2
20180711,79300,79300,77800,77800,10
20180712,77500,77800,76800,77200,11
20180713,77400,78200,77400,77950,6
20180715,77900,80300,77900,80300,10
20180716,81000,82600,80500,80500,9
20180717,81000,81200,79000,79300,8
20180718,79200,81400,79000,81400,8
20180719,81700,81800,80800,81700,9
20180720,81500,82700,81300,82700,7
20180721,83000,83000,83000,83000,1
20180722,82700,86000,82700,86000,12
20180723,86500,89700,86500,89300,11
20180724,90000,94600,90000,94050,11
20180725,93800,95400,91000,92500,12
20180726,92600,93500,91200,92000,11
20180727,92100,93500,92100,93500,8
20180728,94000,94000,93500,93500,5
20180729,93700,99500,93500,99200,13
20180730,100000,114000,100000,114000,10
20180731,112000,120000,106000,115000,10
20180801,114000,114000,103500,106000,11
20180802,106500,109500,105500,106300,9
20180803,106000,108500,105500,108500,5
20180805,107000,107000,100500,100800,11
20180806,101000,101000,97000,100000,11
20180807,99800,99800,94500,94500,11
20180808,92000,95500,91000,92700,9
20180809,93200,101000,93200,101000,11
