<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.01	11:20:00	1694000	1694000	1694000	1694000	2	2	2000
2020.11.01	11:31:00	1694000	1694000	1694000	1694000	1	1	2000
2020.11.01	11:38:00	1695000	1695000	1695000	1695000	1	1	2000
2020.11.01	11:45:00	1694000	1694000	1694000	1694000	1	1	3000
2020.11.01	11:46:00	1696000	1697000	1696000	1697000	2	2	3000
2020.11.01	11:47:00	1697000	1699000	1697000	1699000	7	7	3000
2020.11.01	11:51:00	1700000	1700000	1700000	1700000	2	2	3000
2020.11.01	12:03:00	1699000	1699000	1699000	1699000	1	2	2000
2020.11.01	12:04:00	1699000	1699000	1699000	1699000	1	3	3000
2020.11.01	12:17:00	1698000	1698000	1698000	1698000	1	1	1000
2020.11.01	12:30:00	1696000	1696000	1696000	1696000	2	2	1000
2020.11.01	12:31:00	1695000	1695000	1695000	1695000	2	3	1000
2020.11.01	12:34:00	1695000	1695000	1695000	1695000	1	1	1000
2020.11.01	12:35:00	1696000	1696000	1696000	1696000	3	4	1000
2020.11.01	12:52:00	1696000	1696000	1696000	1696000	1	1	5000
2020.11.01	12:59:00	1695000	1695000	1695000	1695000	1	1	5000
2020.11.01	13:00:00	1695000	1695000	1695000	1695000	1	2	5000
2020.11.01	13:02:00	1695000	1695000	1695000	1695000	1	1	1000
2020.11.01	13:08:00	1695000	1695000	1695000	1695000	1	1	2000
2020.11.01	13:10:00	1695000	1695000	1695000	1695000	1	1	3000
2020.11.01	13:11:00	1694000	1694000	1690000	1690000	10	16	1000
2020.11.01	13:15:00	1690000	1690000	1690000	1690000	1	1	1000
2020.11.01	13:16:00	1692000	1692000	1692000	1692000	2	2	1000
2020.11.01	13:17:00	1693000	1693000	1693000	1693000	1	4	4000
2020.11.01	13:19:00	1693000	1693000	1693000	1693000	1	1	4000
2020.11.01	13:20:00	1693000	1693000	1693000	1693000	1	1	5000
2020.11.01	13:28:00	1692000	1692000	1692000	1692000	1	1	5000
2020.11.01	13:29:00	1692000	1692000	1692000	1692000	1	1	2000
2020.11.01	13:37:00	1693000	1693000	1693000	1693000	1	1	2000
2020.11.01	13:38:00	1693000	1693000	1693000	1693000	1	1	3000
2020.11.01	13:45:00	1695000	1695000	1695000	1695000	1	1	3000
2020.11.01	13:46:00	1695000	1695000	1695000	1695000	1	1	4000
2020.11.01	13:49:00	1696000	1696000	1696000	1696000	1	1	4000
2020.11.01	13:53:00	1696000	1696000	1696000	1696000	1	1	4000
2020.11.01	13:54:00	1697000	1697000	1697000	1697000	2	2	4000
2020.11.01	13:55:00	1699000	1700000	1699000	1700000	5	10	5000
2020.11.01	13:58:00	1700000	1700000	1700000	1700000	1	3	4000
2020.11.01	13:59:00	1700000	1700000	1700000	1700000	1	1	3000
2020.11.01	14:03:00	1700000	1700000	1700000	1700000	1	1	4000
2020.11.01	14:07:00	1697000	1697000	1697000	1697000	1	1	4000
2020.11.01	14:15:00	1697000	1697000	1697000	1697000	1	1	4000
2020.11.01	14:16:00	1696000	1696000	1694000	1694000	6	10	4000
2020.11.01	14:17:00	1695000	1695000	1693000	1693000	3	6	1000
2020.11.01	14:18:00	1693000	1693000	1693000	1693000	1	1	2000
2020.11.01	14:20:00	1693000	1693000	1692000	1692000	5	5	1000
2020.11.01	14:21:00	1692000	1692000	1692000	1692000	1	3	2000
2020.11.01	14:23:00	1695000	1695000	1695000	1695000	1	3	1000
2020.11.01	14:24:00	1695000	1695000	1694000	1694000	2	2	4000
2020.11.01	14:29:00	1694000	1694000	1691000	1691000	5	5	2000
2020.11.01	14:31:00	1693000	1693000	1693000	1693000	1	1	2000
2020.11.01	14:33:00	1693000	1693000	1691000	1691000	4	4	3000
2020.11.01	14:34:00	1692000	1692000	1691000	1692000	4	4	2000
2020.11.01	14:36:00	1695000	1695000	1695000	1695000	1	1	2000
2020.11.01	14:39:00	1695000	1695000	1695000	1695000	1	1	2000
2020.11.01	14:49:00	1695000	1695000	1695000	1695000	1	1	2000
2020.11.01	14:51:00	1695000	1695000	1695000	1695000	1	1	2000
2020.11.01	14:54:00	1697000	1700000	1697000	1700000	10	26	2000
2020.11.02	10:42:00	1700000	1700000	1700000	1700000	2	3	9000
2020.11.02	10:43:00	1703000	1703000	1703000	1703000	2	2	11000
2020.11.02	10:44:00	1706000	1708000	1706000	1708000	9	17	1000
2020.11.02	10:46:00	1706000	1708000	1706000	1708000	5	6	1000
2020.11.02	10:47:00	1708000	1708000	1708000	1708000	1	1	7000
2020.11.02	10:48:00	1707000	1708000	1707000	1708000	3	4	7000
2020.11.02	10:50:00	1709000	1709000	1709000	1709000	2	2	9000
2020.11.02	10:51:00	1710000	1710000	1710000	1710000	2	2	10000
2020.11.02	10:52:00	1710000	1710000	1710000	1710000	2	2	8000
2020.11.02	10:56:00	1710000	1710000	1710000	1710000	4	10	9000
2020.11.02	10:58:00	1711000	1711000	1711000	1711000	2	2	8000
2020.11.02	11:09:00	1709000	1709000	1709000	1709000	1	1	10000
2020.11.02	11:10:00	1710000	1710000	1710000	1710000	2	5	9000
2020.11.02	11:13:00	1710000	1710000	1710000	1710000	2	2	8000
2020.11.02	11:17:00	1708000	1708000	1708000	1708000	1	1	9000
2020.11.02	11:18:00	1709000	1709000	1709000	1709000	1	1	9000
2020.11.02	11:19:00	1710000	1710000	1710000	1710000	1	2	7000
