<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020.11.21,13:59:00,141700,141800,141600,141600,44
2020.11.21,14:00:00,141600,141600,141300,141500,58
2020.11.21,14:01:00,141600,141600,141500,141500,19
2020.11.21,14:02:00,141500,141500,141300,141400,88
2020.11.21,14:03:00,141500,141500,141400,141400,39
2020.11.21,14:04:00,141400,141400,141300,141400,24
2020.11.21,14:05:00,141400,141400,141000,141000,598
2020.11.21,14:06:00,141100,141200,141000,141200,203
2020.11.21,14:07:00,141100,141300,141100,141300,45
2020.11.21,14:08:00,141300,141300,141200,141300,179
2020.11.21,14:09:00,141300,141300,141300,141300,3
2020.11.21,14:10:00,141400,141400,141300,141300,9
2020.11.21,14:11:00,141400,141400,141400,141400,15
2020.11.21,14:12:00,141400,141400,141400,141400,21
2020.11.21,14:13:00,141500,141500,141400,141500,88
2020.11.21,14:14:00,141500,141500,141500,141500,38
2020.11.21,14:15:00,141500,141500,141500,141500,82
2020.11.21,14:16:00,141500,141500,141500,141500,16
2020.11.21,14:17:00,141500,141500,141500,141500,1
2020.11.21,14:18:00,141500,141500,141500,141500,3
2020.11.21,14:20:00,141500,141500,141500,141500,28
2020.11.21,14:21:00,141500,141500,141400,141400,35
2020.11.21,14:22:00,141400,141400,141300,141400,45
2020.11.21,14:23:00,141400,141400,141300,141300,28
2020.11.21,14:24:00,141300,141300,141300,141300,2
2020.11.21,14:25:00,141200,141200,141200,141200,2
2020.11.21,14:26:00,141200,141200,141200,141200,80
2020.11.21,14:27:00,141200,141200,141100,141100,46
2020.11.21,14:28:00,141100,141100,141000,141000,275
2020.11.21,14:29:00,140900,141100,140900,141100,121
2020.11.21,14:30:00,141100,141200,141000,141100,103
2020.11.21,14:31:00,141000,141000,140700,140800,184
2020.11.21,14:32:00,140800,140800,140700,140700,54
2020.11.21,14:33:00,140700,141000,140700,141000,182
2020.11.21,14:34:00,141000,141000,140900,140900,61
2020.11.21,14:35:00,141000,141000,140900,141000,143
2020.11.21,14:36:00,141000,141000,140900,141000,52
2020.11.21,14:37:00,141000,141000,140900,141000,3
2020.11.21,14:38:00,140900,141000,140900,141000,2
2020.11.21,14:39:00,140900,140900,140900,140900,2
2020.11.21,14:40:00,141000,141000,141000,141000,35
2020.11.21,14:41:00,141100,141100,141100,141100,77
2020.11.21,14:42:00,141100,141100,141000,141000,37
2020.11.21,14:43:00,141200,141200,141100,141100,25
2020.11.21,14:44:00,141100,141200,141000,141200,63
2020.11.21,14:45:00,141300,141500,141300,141300,161
2020.11.21,14:46:00,141300,141300,141300,141300,6
2020.11.21,14:47:00,141400,141400,141300,141300,81
2020.11.21,14:48:00,141300,141300,141300,141300,30
2020.11.21,14:49:00,141300,141400,141300,141400,196
2020.11.21,14:50:00,141500,141600,141500,141500,940
2020.11.21,14:51:00,141500,141700,141500,141700,204
2020.11.21,14:52:00,141700,141900,141700,141800,216
2020.11.21,14:53:00,141800,142000,141800,141900,757
2020.11.21,14:54:00,141800,141800,141800,141800,286
2020.11.21,14:55:00,141800,141800,141800,141800,4
2020.11.21,14:56:00,141800,141800,141800,141800,36
2020.11.21,14:57:00,141800,141800,141700,141700,22
2020.11.21,14:58:00,141700,141800,141700,141700,304
2020.11.21,14:59:00,141800,141900,141700,141700,166
2020.11.22,10:30:00,140000,140000,139400,139400,626
2020.11.22,10:31:00,139600,140000,139600,139900,372
2020.11.22,10:32:00,140000,140300,139700,139700,456
2020.11.22,10:33:00,139700,139800,136000,136200,1122
2020.11.22,10:34:00,136300,138500,136100,137500,351
2020.11.22,10:35:00,137600,138700,137500,138700,257
2020.11.22,10:36:00,138100,138700,138100,138400,150
2020.11.22,10:37:00,138400,139100,138400,139100,421
2020.11.22,10:38:00,139100,139500,138900,138900,546
2020.11.22,10:39:00,139000,139100,138600,138600,318
2020.11.22,10:40:00,138600,138700,138400,138600,180
2020.11.22,10:41:00,138800,138800,138600,138700,93
2020.11.22,10:42:00,138600,138600,138100,138300,196
2020.11.22,10:43:00,138100,138300,137900,138300,166
2020.11.22,10:44:00,138400,138800,138400,138800,55
2020.11.22,10:45:00,138800,138800,138400,138400,35
2020.11.22,10:46:00,138500,138500,138300,138300,26
2020.11.22,10:47:00,138300,138400,138200,138200,25
2020.11.22,10:48:00,138200,138600,138200,138600,86
2020.11.22,10:49:00,138600,138900,138600,138900,153
2020.11.22,10:50:00,138800,138800,138700,138700,21
2020.11.22,10:51:00,138500,138700,138500,138700,36
2020.11.22,10:52:00,138700,138900,138700,138900,57
2020.11.22,10:53:00,138900,139000,138900,138900,52
2020.11.22,10:54:00,138800,138800,138800,138800,3
2020.11.22,10:55:00,138800,138800,138700,138700,68
2020.11.22,10:56:00,138700,138800,138700,138800,17
2020.11.22,10:57:00,138700,138700,138500,138500,124
2020.11.22,10:58:00,138400,138500,138400,138500,106
2020.11.22,10:59:00,138500,138700,138400,138700,50
2020.11.22,11:00:00,138400,138400,138400,138400,15
2020.11.22,11:01:00,138500,138700,138500,138700,11
2020.11.22,11:02:00,138600,138700,138600,138700,26
2020.11.22,11:04:00,138700,138800,138700,138800,33
2020.11.22,11:05:00,138800,138800,138700,138700,21
2020.11.22,11:06:00,138800,139000,138800,139000,101
2020.11.22,11:07:00,139000,139000,138900,139000,42
2020.11.22,11:08:00,139000,139100,139000,139100,202
2020.11.22,11:09:00,139200,139300,139100,139200,100
2020.11.22,11:10:00,139200,139200,138900,138900,130
2020.11.22,11:11:00,138800,138800,138700,138700,40
2020.11.22,11:12:00,138700,138800,138100,138300,205
2020.11.22,11:13:00,138400,138500,138400,138500,16
2020.11.22,11:14:00,138500,138600,138500,138600,13
2020.11.22,11:15:00,138600,138600,138600,138600,9
2020.11.22,11:16:00,138600,138700,138600,138700,14
2020.11.22,11:17:00,138700,138900,138500,138600,82
2020.11.22,11:18:00,138700,139000,138700,138900,52
2020.11.22,11:19:00,138600,138700,138600,138700,8
2020.11.22,11:20:00,138700,138700,138700,138700,18
2020.11.22,11:21:00,138700,138700,138700,138700,17
2020.11.22,11:22:00,138600,138600,138600,138600,32
2020.11.22,11:23:00,138500,138500,138500,138500,41
2020.11.22,11:24:00,138600,138600,138500,138600,24
2020.11.22,11:25:00,138600,138600,138500,138500,20
2020.11.22,11:26:00,138500,138500,138400,138400,59
2020.11.22,11:27:00,138400,138400,138300,138300,61
2020.11.22,11:28:00,138400,138600,138400,138600,74
2020.11.22,11:29:00,138500,138500,138500,138500,60
2020.11.22,11:30:00,138500,138600,138500,138600,69
2020.11.22,11:31:00,138600,138800,138600,138800,112
2020.11.22,11:32:00,138700,138700,138700,138700,11
2020.11.22,11:34:00,138700,138700,138600,138600,3
2020.11.22,11:35:00,138700,138700,138600,138700,15
2020.11.22,11:36:00,138700,138700,138700,138700,9
2020.11.22,11:37:00,138800,138900,138800,138900,93
2020.11.22,11:38:00,138800,138800,138800,138800,10
2020.11.22,11:39:00,138700,138700,138700,138700,4
2020.11.22,11:40:00,138800,138900,138800,138900,31
2020.11.22,11:42:00,138800,138800,138800,138800,1
2020.11.22,11:43:00,138800,138800,138800,138800,6
2020.11.22,11:45:00,138800,138800,138800,138800,3
2020.11.22,11:46:00,138900,139000,138900,139000,47
2020.11.22,11:47:00,138700,138700,138700,138700,5
2020.11.22,11:48:00,138900,138900,138900,138900,2
2020.11.22,11:49:00,138900,139000,138900,138900,24
2020.11.22,11:51:00,138800,138800,138800,138800,1
2020.11.22,11:52:00,138800,138800,138800,138800,2
