<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2019.07.27,252864.56,253164.19,252049.59,252275.06,1208
2019.07.28,252275.39,252751.8,252275.39,252324.48,1401
2019.07.29,252324.66,252987.31,252324.66,252488.3,1441
2019.07.30,252488.28,252898.19,252488.28,252898.19,1402
2019.07.31,252898.05,254445.56,252898.05,254445.56,1431
2019.08.03,254445.72,254756.52,254300.38,254453.73,1382
2019.08.04,254453.88,255530.31,254453.88,255530.31,1591
2019.08.05,255530.16,256783.45,255530.16,256702.06,1382
2019.08.06,256698.23,257742.05,255512.14,255512.14,1892
2019.08.07,255511.98,255910.88,255099.36,255145.58,2218
2019.08.10,255163.28,255838.02,255163.28,255299.03,2061
2019.08.11,255306.38,255919.09,255306.38,255876.33,1477
2019.08.13,255876.2,257097.09,255876.2,257097.09,1434
2019.08.14,257097.19,261606.66,257097.19,261391.59,1433
2019.08.17,261391.5,262198.16,261391.5,261405.83,1519
2019.08.18,261405.84,262047.72,260991.47,260991.98,1798
2019.08.19,260991.95,262886.16,260991.95,262886.16,1756
2019.08.21,262941,266127.19,262941,266127.19,2413
2019.08.24,266127.22,269998.53,266127.22,269985.13,1421
2019.08.25,269986.13,271172.16,268220.13,269225.25,1358
2019.08.26,269225.28,274871.63,269225.28,274871.63,1578
2019.08.27,274871.75,279499.75,274871.75,278639.78,1565
2019.08.28,278469.94,278558.53,274551.53,278558.53,2045
2019.08.31,278674.94,285265.44,278674.94,284138.97,1389
2019.09.01,284139.19,286114.66,284139.19,286114.66,1241
2019.09.02,286114.81,287147.91,283001.56,283063.66,1486
2019.09.03,283062.66,285573.5,283062.66,285573.5,1422
2019.09.04,285573.56,290178.28,285573.56,290178.28,2003
2019.09.07,290178.44,294600.88,290178.44,294600.88,1384
2019.09.08,294601.59,297232.34,294601.59,296715.34,1324
2019.09.11,296731.81,299912.88,296731.81,299912.88,1131
2019.09.14,299930.75,304738.63,299930.75,304457.88,1297
2019.09.15,304460.13,304780,301828.09,302395.72,1470
2019.09.16,302395.69,307415.75,302395.69,305918.66,972
2019.09.17,305917.16,305917.16,302082.31,302082.31,1223
2019.09.18,302082.13,302082.13,293770.38,294089.19,812
2019.09.21,294166.63,297874.91,294166.63,297755.59,1518
2019.09.22,297712.59,302074.94,297712.59,302074.94,1752
2019.09.23,302103.56,311483.88,302103.56,311471.13,1757
2019.09.24,311471.38,314835.5,311471.38,312504.78,983
2019.09.25,312206.48,314397.48,312092.48,314397.48,49
2019.09.28,314409.19,320254.19,314409.19,320019.19,98
2019.09.29,320023.91,320330.91,318064.91,318246.91,57
2019.09.30,318250.57,324738.57,318250.57,324700.57,70
2019.10.01,324705.88,328732.63,324705.88,326104.72,620
2019.10.02,326098.06,326341.13,321606.53,326117.88,1144
2019.10.05,326117.22,330305.72,326117.22,327482.16,1285
2019.10.06,327305.78,327305.78,319562.44,320170.63,1550
2019.10.07,320208.44,324075.28,320208.44,320909.16,1442
2019.10.08,320909.72,320909.72,314468.69,314468.69,965
2019.10.09,314469.78,314469.78,309961.66,312843.44,1355
2019.10.12,313049.06,322059.53,313049.06,322059.53,891
2019.10.13,322059.84,329667,322059.84,326190.81,776
2019.10.14,326190.81,326190.81,318215.28,319871.59,849
2019.10.15,319871.63,320335.44,308957.41,308979.16,632
2019.10.16,308978.94,310194.09,308307.94,309646.59,1130
2019.10.20,309640.31,310145.78,301392.19,301392.19,1495
2019.10.21,301391.09,302176.31,299880.06,302176.31,1714
2019.10.22,302173.06,309420.94,302173.06,308326.22,1824
