date,open,high,low,close,volume,open_interest,contract,undajusted_close
2004-08-11,79.07175038,79.27020151,78.99457494,79.20405114,562911,1438029,200409,112.25
2004-08-12,79.22610126,79.41352733,79.03867519,79.33635189,722555,1442476,200409,112.4375
2004-08-13,79.31430176,79.70017896,79.3032767,79.57890327,605049,1469313,200409,112.78125
2004-08-16,79.50172783,79.57890327,79.19302607,79.40250227,584878,1402154,200409,112.53125
2004-08-17,79.35840201,79.75530428,79.29225164,79.6891539,633132,1444801,200409,112.9375
2004-08-18,79.75530428,79.92068022,79.47967771,79.55685314,814033,1460275,200409,112.75
2004-08-19,79.50172783,79.67812884,79.42455239,79.65607871,577267,1457894,200409,112.890625
2004-08-20,79.63402858,79.73325415,79.51275289,79.53480302,442492,1483718,200409,112.71875
2004-08-23,79.53480302,79.56787821,79.20405114,79.3032767,631766,1486438,200409,112.390625
2004-08-24,79.27020151,79.3914772,79.09380051,79.32532683,599206,1472120,200409,112.421875
2004-08-25,79.35840201,79.58992833,79.19302607,79.40250227,841637,1488060,200409,112.53125
2004-08-26,79.3914772,79.66710377,79.34737695,79.58992833,697199,1498872,200409,112.796875
2004-08-27,79.65607871,79.78837946,79.57890327,79.58992833,792292,1429806,200409,112.796875
2004-08-30,79.58992833,79.83247971,79.54582808,79.79940453,392895,1418450,200409,113.09375
2004-08-31,79.82145465,80.27348223,79.76632934,80.06400603,426273,1470340,200409,113.46875
2004-09-01,80.1632316,80.35261111,79.94043218,80.1632316,1081191,1495684,200412,112.4375
2004-09-02,80.17437157,80.25235137,79.72877273,79.85131241,763184,1459427,200412,112
2004-09-03,79.75105267,80.64225035,79.19405412,79.33887374,922023,1439168,200412,111.28125
2004-09-07,79.33887374,79.5839531,79.27203392,79.55053319,543713,1440651,200412,111.578125
2004-09-08,79.55053319,80.0852518,79.29431386,80.05183189,1010752,1478506,200412,112.28125
2004-09-09,80.04069192,80.26349134,79.88473232,79.92929221,938713,1487313,200412,112.109375
2004-09-10,79.95157215,80.34147114,79.95157215,80.05183189,744033,1457270,200412,112.28125
2004-09-13,80.04069192,80.26349134,79.96271212,80.19665151,444584,1461701,200412,112.484375
2004-09-14,80.2412114,80.40831096,80.06297186,80.30805122,604042,1467456,200412,112.640625
2004-09-15,80.30805122,80.33033116,80.02955195,80.09639177,654358,1467878,200412,112.34375
2004-09-16,80.09639177,80.68681024,80.007272,80.60883044,1008899,1511369,200412,113.0625
2004-09-17,80.60883044,80.75365006,80.31919119,80.34147114,705683,1534748,200412,112.6875
2004-09-20,80.40831096,80.74251009,80.38603102,80.72023015,471731,1537022,200412,113.21875
2004-09-21,80.70909018,80.84276983,80.35261111,80.77593001,739175,1558902,200412,113.296875
2004-09-22,80.77593001,81.08784919,80.63111038,80.98758946,950179,1536535,200412,113.59375
2004-09-23,80.98758946,81.13240908,80.68681024,80.73137012,916650,1556887,200412,113.234375
