date,open,high,low,close,volume,open_interest,contract,unadjusted_close
2001-07-13,803.6795758,803.6795758,779.5833628,786.6704843,47,1395,200109,555
2001-07-16,776.7485142,790.9227572,772.4962413,772.6379838,36,1410,200109,545.1
2001-07-17,755.4871498,755.4871498,740.6041947,744.1477554,65,1411,200109,525
2001-07-18,722.886391,738.4780582,717.2166938,738.1945734,67,1439,200109,520.8
2001-07-19,738.4780582,738.4780582,725.7212396,725.7212396,35,1424,200109,512
2001-07-20,679.6549499,694.5379051,674.6939649,679.3714651,65,1422,200109,479.3
2001-07-23,680.3636621,680.3636621,667.6068434,673.9852528,35,1433,200109,475.5
2001-07-24,652.0151762,671.8591163,649.1803276,670.0873359,102,1471,200109,472.75
2001-07-25,670.441692,670.441692,657.6848734,664.7719948,22,1464,200109,469
2001-07-26,658.3935855,664.7719948,656.2674491,659.1022977,25,1456,200109,465
2001-07-27,649.1803276,652.0151762,644.2193425,644.5736986,79,1470,200109,454.75
2001-07-30,633.5886603,638.5496454,616.5795688,619.4852886,121,1480,200109,437.05
2001-07-31,630.7538117,657.6848734,630.7538117,654.1413126,68,1483,200109,461.5
2001-08-01,654.8500248,676.1113892,654.8500248,666.1894191,112,1452,200109,470
2001-08-02,667.6068434,688.1594957,667.6068434,683.9072228,102,1420,200109,482.5
2001-08-03,693.1204808,693.1204808,683.1985107,690.214761,186,1511,200109,486.95
2001-08-06,677.5288135,677.5288135,666.1894191,666.7563889,66,1404,200109,470.4
2001-08-07,643.5106304,643.5106304,619.4144174,631.1081678,52,1412,200109,445.25
2001-08-08,632.171236,633.5886603,623.6666903,629.3363874,58,1400,200109,444
2001-08-09,628.6276753,647.7629033,628.6276753,643.5106304,26,1420,200109,454
2001-08-10,665.480707,687.4507836,656.2674491,673.2765406,71,1394,200109,475
2001-08-13,677.5288135,677.5288135,666.1894191,669.0242677,93,1388,200109,472
2001-08-14,657.6848734,657.6848734,638.1244181,638.1244181,38,1362,200109,450.2
2001-08-15,623.6666903,623.6666903,616.5795688,623.6666903,29,1278,200109,440
2001-08-16,606.6575987,633.5886603,606.6575987,627.9189631,221,1382,200109,443
2001-08-17,633.5886603,643.5106304,633.5886603,637.8409332,22,1263,200109,450
2001-08-20,636.4235089,636.4235089,630.7538117,630.7538117,82,1254,200109,445
2001-08-21,637.8409332,637.8409332,633.5886603,633.5886603,137,1222,200109,447
2001-08-22,652.0151762,652.0151762,637.8409332,637.8409332,54,1237,200109,450
2001-08-23,635.6750708,635.6750708,627.2181962,628.6276753,144,1290,200112,446
2001-08-24,629.3324148,637.0845498,629.3324148,637.0845498,52,1267,200112,452
2001-08-27,637.0845498,637.0845498,633.5608521,633.9132219,47,1280,200112,449.75
2001-08-28,662.4551735,676.5499644,662.1732777,669.502569,163,1193,200112,475
2001-08-29,668.7978294,668.7978294,668.7978294,669.0092513,28,1188,200112,474.65
