RNOFREUR;Renault SA;Stocks;France;05.08.2016;05.08.2016;3;0.01;0;0.01;0.001;1
SAFFREUR;Safran SA;Stocks;France;05.08.2016;05.08.2016;3;0.01;0;0.01;0.001;1
SANFREUR;Sanofi;Stocks;France;05.08.2016;05.08.2016;3;0.01;0;0.01;0.001;1

SGOFREUR;Cie de St-Gobain;Stocks;France;31.10.2016;31.10.2016;3;0.01;0;0.01;0.001;1
SUFREUR;Schneider Electric SA;Stocks;France;05.08.2016;05.08.2016;3;0.01;0;0.01;0.001;1
UGFREUR;Peugeot SA;Stocks;France;05.08.2016;05.08.2016;3;0.01;0;0.01;0.001;1
VIEFREUR;Veolia Environnement SA;Stocks;France;05.08.2016;05.08.2016;3;0.01;0;0.01;0.001;1
VIVFREUR;Vivendi SA;Stocks;France;05.08.2016;05.08.2016;3;0.01;0;0.01;0.001;1
VKFREUR;Vallourec SA;Stocks;France;05.08.2016;05.08.2016;3;0.01;0;0.01;0.001;1

AGNNLEUR;Aegon NV;Stocks;Netherlands;15.11.2016;15.11.2016;3;0.01;0;0.01;0.001;1
AHNLEUR;Koninklijke Ahold Delhaize NV;Stocks;Netherlands;15.11.2016;15.11.2016;3;0.01;0;0.01;0.001;1
AKZANLEUR;Akzo Nobel NV;Stocks;Netherlands;15.11.2016;15.11.2016;3;0.01;0;0.01;0.001;1
ASMLNLEUR;ASML Holding NV;Stocks;Netherlands;15.11.2016;15.11.2016;3;0.01;0;0.01;0.001;1
DSMNLEUR;Koninklijke DSM NV;Stocks;Netherlands;15.11.2016;15.11.2016;3;0.01;0;0.01;0.001;1
GTONLEUR;Gemalto NV;Stocks;Netherlands;15.11.2016;15.11.2016;3;0.01;0;0.01;0.001;1
HEIANLEUR;Heineken NV;Stocks;Netherlands;15.11.2016;15.11.2016;3;0.01;0;0.01;0.001;1
INGANLEUR;ING Groep NV;Stocks;Netherlands;15.11.2016;15.11.2016;3;0.01;0;0.01;0.001;1
KPNNLEUR;Koninklijke KPN NV;Stocks;Netherlands;15.11.2016;15.11.2016;3;0.01;0;0.01;0.001;1
MTNLEUR;ArcelorMittal;Stocks;Netherlands;15.11.2016;15.11.2016;3;0.01;0;0.01;0.001;1
PHIANLEUR;Koninklijke Philips NV;Stocks;Netherlands;15.11.2016;15.11.2016;3;0.01;0;0.01;0.001;1
RANDNLEUR;Randstad Holding NV;Stocks;Netherlands;15.11.2016;15.11.2016;3;0.01;0;0.01;0.001;1
